"","Site","Date","Turbidity","TSS","ChlA","DOC","DTN","pH","ANC","SC","Na","NH4","K","Mg","Ca","F","Cl","NO3","PO4","SO4","FCW_Number","Year","site_code","Lat","Long","location","Campaign","watershed","status","Buffer_Level","Watershed_Level","distance_upstream_km","season","Distance","Xdistance","order"
"1","JWC-Joe Wright @ Aspen Glen Campground",2014-09-15,NA,NA,NA,2.71,0.14,7.59,346.52,40,1.41,0.02,0.72,1.01,5.3,0.05,0.36,0.07,0,1.92,1,2014,"JWC",40.62055,-105.8183,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,80.916,"FALL","18 - JWC",19,"19"
"2","Poudre Below Rustic",2014-09-15,NA,NA,NA,2.61,0.16,7.6,352.09,45.6,1.61,0.02,0.69,1.2,5.9,0.12,0.45,0.15,0,3.89,5,2014,"PBR",40.700221,-105.544028,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,47.262,"FALL","21 - PBR",22,"22"
"3","Poudre Above Joe Wright",2014-09-15,NA,NA,NA,2.48,0.21,7.5,274.41,43.3,1.25,0.01,0.54,1.03,5.65,0.19,0.2,0.38,0,5.44,3,2014,"PJW",40.634567,-105.807017,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,80.916,"FALL","19 - PJW",20,"20"
"4","Poudre Above North Fork",2014-09-15,NA,NA,NA,2.71,0.14,7.67,439.8,53,2.14,0.03,0.72,1.42,6.5,0.13,0.77,0.07,0,3.99,8,2014,"PNF",40.702459,-105.241588,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,7.471,"FALL","24 - PNF",25,"25"
"5","Poudre Below S. Fork",2014-09-15,NA,NA,NA,2.63,0.15,7.61,515.51,46.6,1.79,0.03,0.68,1.22,5.85,0.12,0.49,0.1,0,3.81,7,2014,"PSF",40.694953,-105.448748,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,33.951,"FALL","23 - PSF",24,"24"
"6","Poudre South Fork",2014-09-15,NA,NA,NA,3.3,0.15,7.56,334.83,41,2.57,0.03,0.61,1.15,4.67,0.14,0.54,0.02,0,2.38,6,2014,"SFM",40.61825,-105.525583,"Mainstem","South Fork","CLP Mainstem-Canyon","Partially Burned",NA,NA,53.476,"FALL","22 - SFM",23,"23"
"7","Poudre Below Rustic",2015-01-16,NA,NA,NA,2.54,0.21,7.8,609.43,66.7,3.15,0.04,0.91,1.93,7.41,0.09,1.44,0.36,0,3.18,10,2015,"PBR",40.700221,-105.544028,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,47.262,"FALL","21 - PBR",22,"22"
"8","Poudre Above North Fork",2015-01-16,NA,NA,NA,1.95,0.26,7.86,766.23,86,4.38,0.05,0.9,2.44,9.43,0.14,2.36,0.63,0,4.35,15,2015,"PNF",40.702459,-105.241588,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,7.471,"FALL","24 - PNF",25,"25"
"9","Poudre South Fork",2015-01-16,NA,NA,NA,2.8,0.21,7.78,594.17,65.8,3.4,0.02,0.84,1.89,7.22,0.12,1.35,0.49,0,3.4,11,2015,"SFM",40.61825,-105.525583,"Mainstem","South Fork","CLP Mainstem-Canyon","Partially Burned",NA,NA,53.476,"FALL","22 - SFM",23,"23"
"10","Poudre Below Rustic",2015-03-18,NA,NA,NA,2.48,0.15,7.79,594.41,64.8,3.16,0.02,0.89,1.84,7.05,0.09,1.55,0,0,2.86,17,2015,"PBR",40.700221,-105.544028,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,47.262,"FALL","21 - PBR",22,"22"
"11","Poudre Above North Fork",2015-03-18,NA,NA,NA,2.59,0.22,7.88,775.4,88.6,4.51,0.03,0.97,2.55,9.62,0.15,2.84,0.3,0,4.88,24,2015,"PNF",40.702459,-105.241588,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,7.471,"FALL","24 - PNF",25,"25"
"12","Poudre South Fork",2015-03-18,NA,NA,NA,2.42,0.17,7.76,605.17,65.4,3.44,0.01,0.9,1.89,7.11,0.12,1.46,0.11,0,3.25,18,2015,"SFM",40.61825,-105.525583,"Mainstem","South Fork","CLP Mainstem-Canyon","Partially Burned",NA,NA,53.476,"FALL","22 - SFM",23,"23"
"13","JWC-Joe Wright @ Aspen Glen Campground",2015-04-20,NA,NA,NA,4.63,0.23,7.75,504.9,57.8,2.45,0.03,0.89,1.33,6.88,0.06,1.34,0.05,0,2.36,27,2015,"JWC",40.62055,-105.8183,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,80.916,"FALL","18 - JWC",19,"19"
"14","Poudre Below Rustic",2015-04-20,NA,NA,NA,4.89,0.19,7.69,487.17,55.7,2.92,0.02,0.87,1.57,6.1,0.07,1.25,0,0,2.7,31,2015,"PBR",40.700221,-105.544028,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,47.262,"FALL","21 - PBR",22,"22"
"15","Poudre Above Joe Wright",2015-04-20,NA,NA,NA,6.26,0.3,7.53,324.13,37.8,2.12,0.03,0.68,1,4.3,0.06,0.46,0.15,0,1.75,28,2015,"PJW",40.634567,-105.807017,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,80.916,"FALL","19 - PJW",20,"20"
"16","Poudre Above North Fork",2015-04-20,NA,NA,NA,4.98,0.46,7.78,629.15,87,4.73,0.04,0.98,2.37,9.53,0.15,3.66,1.22,0,5.19,35,2015,"PNF",40.702459,-105.241588,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,7.471,"FALL","24 - PNF",25,"25"
"17","Poudre South Fork",2015-04-20,NA,NA,NA,4.41,0.22,7.72,504.97,58.5,3.18,0.02,0.81,1.66,6.29,0.09,1.33,0.16,0,3.4,30,2015,"SFM",40.61825,-105.525583,"Mainstem","South Fork","CLP Mainstem-Canyon","Partially Burned",NA,NA,53.476,"FALL","22 - SFM",23,"23"
"18","JWC-Joe Wright @ Aspen Glen Campground",2015-06-08,NA,NA,NA,4.74,0.33,7.55,385.34,41.5,1.77,0.02,0.82,1.07,5.23,0.04,0.5,0.49,0,1.82,44,2015,"JWC",40.62055,-105.8183,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,80.916,"FALL","18 - JWC",19,"19"
"19","Poudre Below Rustic",2015-06-08,NA,NA,NA,6.35,0.32,7.35,248.58,32,1.71,0.02,0.66,0.9,3.74,0.06,0.46,0.48,0,1.97,37,2015,"PBR",40.700221,-105.544028,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,47.262,"FALL","21 - PBR",22,"22"
"20","Poudre Above Joe Wright",2015-06-08,NA,NA,NA,7.08,0.39,7.14,162.72,25.6,1.24,0.01,0.57,0.67,3.02,0.08,0.28,0.9,0,2,38,2015,"PJW",40.634567,-105.807017,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,80.916,"FALL","19 - PJW",20,"20"
"21","Poudre Above North Fork",2015-06-08,NA,NA,NA,6.45,0.34,7.46,344.59,42.7,2.24,0.03,0.73,1.18,4.91,0.1,0.94,0.53,0,2.64,40,2015,"PNF",40.702459,-105.241588,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,7.471,"FALL","24 - PNF",25,"25"
"22","Poudre South Fork",2015-06-08,NA,NA,NA,6.39,0.32,7.35,258.97,33.8,1.85,0.02,0.65,0.93,3.85,0.08,0.5,0.5,0,2.16,39,2015,"SFM",40.61825,-105.525583,"Mainstem","South Fork","CLP Mainstem-Canyon","Partially Burned",NA,NA,53.476,"FALL","22 - SFM",23,"23"
"23","JWC-Joe Wright @ Aspen Glen Campground",2015-06-22,NA,NA,NA,3.89,0.34,7.51,308.42,35.9,1.42,0.02,0.74,0.9,4.4,0.05,0.35,0.93,0,1.64,50,2015,"JWC",40.62055,-105.8183,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,80.916,"FALL","18 - JWC",19,"19"
"24","Poudre Below Rustic",2015-06-22,NA,NA,NA,4.88,0.4,7.38,241.21,31.9,1.61,0.02,0.63,0.83,3.57,0.08,0.4,0.96,0,1.78,49,2015,"PBR",40.700221,-105.544028,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,47.262,"FALL","21 - PBR",22,"22"
"25","Poudre Above Joe Wright",2015-06-22,NA,NA,NA,5.24,0.4,7.24,157.51,24.9,1.25,0.02,0.47,0.65,2.8,0.1,0.21,1.07,0,1.72,54,2015,"PJW",40.634567,-105.807017,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,80.916,"FALL","19 - PJW",20,"20"
"26","Poudre Above North Fork",2015-06-22,NA,NA,NA,5,0.38,7.53,310.16,39.2,2.05,0.03,0.63,1.05,4.32,0.11,0.74,0.74,0,2.24,53,2015,"PNF",40.702459,-105.241588,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,7.471,"FALL","24 - PNF",25,"25"
"27","Poudre South Fork",2015-06-22,NA,NA,NA,4.97,0.37,7.43,255.1,32.7,1.71,0.02,0.58,0.87,3.56,0.09,0.43,0.72,0,1.85,48,2015,"SFM",40.61825,-105.525583,"Mainstem","South Fork","CLP Mainstem-Canyon","Partially Burned",NA,NA,53.476,"FALL","22 - SFM",23,"23"
"28","JWC-Joe Wright @ Aspen Glen Campground",2015-07-13,NA,NA,NA,3.02,0.3,7.56,320.09,35.8,1.42,0.02,0.72,0.87,4.37,0.05,0.35,0.81,0,1.61,55,2015,"JWC",40.62055,-105.8183,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,80.916,"FALL","18 - JWC",19,"19"
"29","Poudre Below Rustic",2015-07-13,NA,NA,NA,3.3,0.27,7.58,317.29,39.1,1.66,0.02,0.62,1.01,4.44,0.09,0.38,0.62,0,2.43,59,2015,"PBR",40.700221,-105.544028,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,47.262,"FALL","21 - PBR",22,"22"
"30","Poudre Above Joe Wright",2015-07-13,NA,NA,NA,3.75,0.33,7.4,222.6,32.2,1.34,0.02,0.49,0.8,3.78,0.14,0.2,0.92,0,3.04,62,2015,"PJW",40.634567,-105.807017,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,80.916,"FALL","19 - PJW",20,"20"
"31","Poudre Above North Fork",2015-07-13,NA,NA,NA,3.91,0.33,7.68,293.24,51.2,2.48,0.02,0.69,1.4,5.73,0.13,0.96,0.77,0,3.07,56,2015,"PNF",40.702459,-105.241588,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,7.471,"FALL","24 - PNF",25,"25"
"32","Poudre South Fork",2015-07-13,NA,NA,NA,3.81,0.31,7.58,343.44,41.9,1.99,0.02,0.64,1.12,4.73,0.11,0.49,0.65,0,2.66,61,2015,"SFM",40.61825,-105.525583,"Mainstem","South Fork","CLP Mainstem-Canyon","Partially Burned",NA,NA,53.476,"FALL","22 - SFM",23,"23"
"33","JWC-Joe Wright @ Aspen Glen Campground",2015-08-17,NA,NA,NA,2.59,0.31,6.88,332.05,38.1,1.53,0.02,0.78,0.99,5.11,0.06,0.29,0.56,0,1.91,71,2015,"JWC",40.62055,-105.8183,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,80.916,"FALL","18 - JWC",19,"19"
"34","Poudre Below Rustic",2015-08-17,NA,NA,NA,2.5,0.23,7.46,371.43,44.3,1.76,0.01,0.7,1.19,5.48,0.13,0.4,0.45,0,3.48,65,2015,"PBR",40.700221,-105.544028,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,47.262,"FALL","21 - PBR",22,"22"
"35","Poudre Above Joe Wright",2015-08-17,NA,NA,NA,3.11,0.26,6.7,193.11,40.6,1.4,0.02,0.61,1,5.26,0.19,0.27,0.7,0,5.02,66,2015,"PJW",40.634567,-105.807017,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,80.916,"FALL","19 - PJW",20,"20"
"36","Poudre Above North Fork",2015-08-17,NA,NA,NA,3.5,0.3,6.97,294.18,61.9,2.57,0.03,0.8,1.57,6.79,0.13,0.94,0.19,0,3.69,69,2015,"PNF",40.702459,-105.241588,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,7.471,"FALL","24 - PNF",25,"25"
"37","Poudre South Fork",2015-08-17,NA,NA,NA,3.01,0.27,6.9,216.89,48.3,2.04,0.03,0.74,1.25,5.5,0.07,0.5,0.19,0,3.43,72,2015,"SFM",40.61825,-105.525583,"Mainstem","South Fork","CLP Mainstem-Canyon","Partially Burned",NA,NA,53.476,"FALL","22 - SFM",23,"23"
"38","Poudre Below Rustic",2015-09-14,NA,NA,NA,2.01,0.22,7.81,613.37,66.4,3,0.03,1.05,1.94,7.6,0.13,1.33,0.48,0,3.58,75,2015,"PBR",40.700221,-105.544028,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,47.262,"FALL","21 - PBR",22,"22"
"39","Poudre Above Joe Wright",2015-09-14,NA,NA,NA,2.09,0.2,7.56,349.1,39.8,2.07,0.02,0.56,0.96,4.18,0.16,0.34,0.34,0,3.09,80,2015,"PJW",40.634567,-105.807017,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,80.916,"FALL","19 - PJW",20,"20"
"40","Poudre Above North Fork",2015-09-14,NA,NA,NA,4.68,0.26,7.45,699.7,79.7,3.9,0.04,1.01,2.25,9.3,0.17,2.1,0.43,0,4.31,73,2015,"PNF",40.702459,-105.241588,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,7.471,"FALL","24 - PNF",25,"25"
"41","Poudre South Fork",2015-09-14,NA,NA,NA,2.21,0.2,7.82,587.32,65.2,3.15,0.03,0.89,1.8,6.99,0.15,1.07,0.37,0,3.26,78,2015,"SFM",40.61825,-105.525583,"Mainstem","South Fork","CLP Mainstem-Canyon","Partially Burned",NA,NA,53.476,"FALL","22 - SFM",23,"23"
"42","JWC-Joe Wright @ Aspen Glen Campground",2015-10-12,NA,NA,NA,2.64,0.13,7.8,618.24,62.3,2.38,0.02,0.94,1.51,7.96,0.07,0.97,0.03,0,2.24,82,2015,"JWC",40.62055,-105.8183,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,80.916,"FALL","18 - JWC",19,"19"
"43","Poudre Below Rustic",2015-10-12,NA,NA,NA,1.83,0.11,7.85,682.37,74.5,3.57,0.03,1.11,2.17,7.9,0.15,2.44,0.04,0,3.75,86,2015,"PBR",40.700221,-105.544028,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,47.262,"FALL","21 - PBR",22,"22"
"44","Poudre Above Joe Wright",2015-10-12,NA,NA,NA,1.91,0.13,7.62,374.21,45.5,2.26,0.02,0.62,1.11,4.77,0.15,0.54,0.17,0,3.49,85,2015,"PJW",40.634567,-105.807017,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,80.916,"FALL","19 - PJW",20,"20"
"45","Poudre Above North Fork",2015-10-12,NA,NA,NA,2.17,0.12,7.96,897.5,98.2,5,0.05,1.12,2.77,10.71,0.2,3.66,0.09,0,5.04,81,2015,"PNF",40.702459,-105.241588,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,7.471,"FALL","24 - PNF",25,"25"
"46","Poudre South Fork",2015-10-12,NA,NA,NA,2.1,0.09,7.84,660.53,72,3.54,0.03,0.92,1.94,7.2,0.16,1.52,0.01,0,3.51,84,2015,"SFM",40.61825,-105.525583,"Mainstem","South Fork","CLP Mainstem-Canyon","Partially Burned",NA,NA,53.476,"FALL","22 - SFM",23,"23"
"47","JWC-Joe Wright @ Aspen Glen Campground",2015-11-09,NA,NA,NA,2.69,0.15,7.85,710.02,74.5,3.11,0.02,1.17,1.71,9.27,0.08,1.36,0.13,0,2.41,90,2015,"JWC",40.62055,-105.8183,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,80.916,"FALL","18 - JWC",19,"19"
"48","Poudre Below Rustic",2015-11-09,NA,NA,NA,1.67,0.13,7.88,694.41,75.6,3.96,0.03,1.2,2.27,8.01,0.13,1.94,0.27,0,3.65,93,2015,"PBR",40.700221,-105.544028,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,47.262,"FALL","21 - PBR",22,"22"
"49","Poudre Above Joe Wright",2015-11-09,NA,NA,NA,1.9,0.24,7.65,394.29,45.1,2.88,0.02,0.89,1.14,4.65,0.13,0.55,0.69,0,2.44,95,2015,"PJW",40.634567,-105.807017,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,80.916,"FALL","19 - PJW",20,"20"
"50","Poudre Above North Fork",2015-11-09,NA,NA,NA,1.87,0.2,8.02,1014.81,115.1,6.03,0.05,1.12,3.25,12.25,0.21,4.86,0.43,0,5.83,91,2015,"PNF",40.702459,-105.241588,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,7.471,"FALL","24 - PNF",25,"25"
"51","Poudre South Fork",2015-11-09,NA,NA,NA,1.75,0.14,7.89,731.51,79.1,3.95,0.01,0.99,2.18,7.79,0.15,2.37,0.27,0,3.91,96,2015,"SFM",40.61825,-105.525583,"Mainstem","South Fork","CLP Mainstem-Canyon","Partially Burned",NA,NA,53.476,"FALL","22 - SFM",23,"23"
"52","Poudre Above North Fork",2020-11-16,NA,NA,NA,1.8,0.22,7.89,799.61,102.85,4.14,0.01,1.17,2.25,11.61,0.09,2.31,0.45,0,5.59,220,2020,"PNF",40.702459,-105.241588,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,7.471,"FALL","24 - PNF",25,"25"
"53","Poudre Above Joe Wright",2021-04-07,1.9,9.52,NA,5.48,0.63,7.18,350.32,41.68,1.78,0.05,1.21,1.09,4.01,0.09,0.61,0.83,0,2.19,232,2021,"PJW",40.634567,-105.807017,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,80.916,"SPRING","19 - PJW",20,"20"
"54","JWC-Joe Wright @ Aspen Glen Campground",2021-04-07,NA,NA,NA,2.64,0.23,7.39,482.68,52,2.15,0.01,0.8,1.08,5.55,0.04,0.55,0.1,0,2.5,237,2021,"JWC",40.62055,-105.8183,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,80.916,"SPRING","18 - JWC",19,"19"
"55","Poudre Below Rustic",2021-04-07,NA,NA,NA,1.86,0.19,7.31,586.51,63.56,5.12,0.02,1.04,2.56,4.4,0.11,0.79,0.06,0.07,2.51,227,2021,"PBR",40.700221,-105.544028,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,47.262,"SPRING","21 - PBR",22,"22"
"56","Poudre Above North Fork",2021-04-07,NA,NA,NA,4.44,0.74,7.82,1398.41,135.9,3.67,0.09,1.08,3.1,13.74,0.05,0.68,0.58,0,5.47,229,2021,"PNF",40.702459,-105.241588,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,7.471,"SPRING","24 - PNF",25,"25"
"57","Poudre Below S. Fork",2021-04-07,NA,NA,NA,4.99,0.31,7.34,550.29,92.89,2.28,0,1.28,2.77,9.9,0.07,1.42,0.12,0,12.23,225,2021,"PSF",40.694953,-105.448748,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,33.951,"SPRING","23 - PSF",24,"24"
"58","Poudre South Fork",2021-04-07,NA,NA,NA,6.44,0.52,7.36,404.05,50.82,3,0.08,0.78,1.29,5.01,0.08,0.76,0.61,0,3.56,238,2021,"SFM",40.61825,-105.525583,"Mainstem","South Fork","CLP Mainstem-Canyon","Partially Burned",NA,NA,53.476,"SPRING","22 - SFM",23,"23"
"59","Poudre Above Joe Wright",2021-04-12,1.5,0.98,NA,6.08,0.62,7.08,347.11,42.65,1.98,0.01,1.06,1.11,4.02,0.11,0.69,0.29,0,2.21,243,2021,"PJW",40.634567,-105.807017,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,80.916,"SPRING","19 - PJW",20,"20"
"60","JWC-Joe Wright @ Aspen Glen Campground",2021-04-12,NA,NA,NA,2.93,0.18,7.26,503.64,49.26,1.82,0.02,0.72,1.11,5.09,0.05,0.8,0.11,0,2.52,242,2021,"JWC",40.62055,-105.8183,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,80.916,"SPRING","18 - JWC",19,"19"
"61","Poudre Below Rustic",2021-04-12,NA,NA,NA,4.53,0.27,7.45,624.54,64.23,2.18,0.01,0.97,1.74,6.21,0.07,1.39,0.08,0,3.05,245,2021,"PBR",40.700221,-105.544028,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,47.262,"SPRING","21 - PBR",22,"22"
"62","Poudre Above North Fork",2021-04-12,NA,NA,NA,4.87,0.25,7.55,743.27,91.12,4.21,0.01,1.12,2.09,10.98,0.11,2.56,0.43,0,5.39,248,2021,"PNF",40.702459,-105.241588,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,7.471,"SPRING","24 - PNF",25,"25"
"63","Poudre Below S. Fork",2021-04-12,NA,NA,NA,4.88,0.33,7.36,503.4,68.96,2.66,0.01,0.94,1.85,6.26,0.11,1.41,0.13,0,3.3,247,2021,"PSF",40.694953,-105.448748,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,33.951,"SPRING","23 - PSF",24,"24"
