"","Site","Date","Turbidity","TSS","ChlA","DOC","DTN","pH","ANC","SC","Na","NH4","K","Mg","Ca","F","Cl","NO3","PO4","SO4","FCW_Number","Year","site_code","Lat","Long","location","Campaign","watershed","status","Buffer_Level","Watershed_Level","distance_upstream_km","season","Distance","Xdistance","order"
"64","Poudre South Fork",2021-04-12,NA,NA,NA,5.19,0.48,7.33,393.02,49.64,2.89,0.01,0.8,1.22,5.03,0.08,0.81,0.62,0,3.64,246,2021,"SFM",40.61825,-105.525583,"Mainstem","South Fork","CLP Mainstem-Canyon","Partially Burned",NA,NA,53.476,"SPRING","22 - SFM",23,"23"
"65","Poudre Above Joe Wright",2021-04-19,1.4,0,NA,4.29,0.44,7.27,381.18,42.42,2.02,0.01,0.99,1.08,4.12,0.12,0.65,0.3,0,2.29,265,2021,"PJW",40.634567,-105.807017,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,80.916,"SPRING","19 - PJW",20,"20"
"66","JWC-Joe Wright @ Aspen Glen Campground",2021-04-19,NA,NA,NA,4.12,0.3,7.37,499.82,52.97,1.72,0.01,0.78,1.21,5.55,0.05,0.59,0.05,0,2.5,264,2021,"JWC",40.62055,-105.8183,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,80.916,"SPRING","18 - JWC",19,"19"
"67","Poudre Below Rustic",2021-04-19,NA,NA,NA,3.69,0.23,7.47,574.46,62.08,2.77,0.01,0.94,1.72,6.01,0.07,1.41,0.11,0,2.95,267,2021,"PBR",40.700221,-105.544028,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,47.262,"SPRING","21 - PBR",22,"22"
"68","Poudre Above North Fork",2021-04-19,NA,NA,NA,4.31,0.26,7.63,700.11,98.59,4.34,0.01,1.06,1.98,10.54,0.11,2.96,0.42,0,5.3,270,2021,"PNF",40.702459,-105.241588,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,7.471,"SPRING","24 - PNF",25,"25"
"69","Poudre Below S. Fork",2021-04-19,NA,NA,NA,3.87,0.2,7.5,480.83,58.53,2.74,0.11,0.98,1.8,6.02,0.1,1.38,0.14,0,3.33,268,2021,"PSF",40.694953,-105.448748,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,33.951,"SPRING","23 - PSF",24,"24"
"70","Poudre South Fork",2021-04-19,NA,NA,NA,3.63,0.36,7.28,381.79,48.37,2.87,0.01,0.79,1.28,4.79,0.08,0.78,0.57,0,3.75,260,2021,"SFM",40.61825,-105.525583,"Mainstem","South Fork","CLP Mainstem-Canyon","Partially Burned",NA,NA,53.476,"SPRING","22 - SFM",23,"23"
"71","Poudre Above Joe Wright",2021-04-26,NA,0,NA,4.37,0.65,6.97,340.96,40.27,2.1,0.01,0.99,1.07,3.98,0.1,0.71,0.34,0,2.27,285,2021,"PJW",40.634567,-105.807017,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,80.916,"SPRING","19 - PJW",20,"20"
"72","JWC-Joe Wright @ Aspen Glen Campground",2021-04-26,NA,NA,NA,3.6,0.24,7.2,537.61,54.07,1.75,0.02,0.81,1.34,5.79,0.05,0.92,0.06,0,2.5,284,2021,"JWC",40.62055,-105.8183,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,80.916,"SPRING","18 - JWC",19,"19"
"73","Poudre Below Rustic",2021-04-26,NA,NA,NA,3.78,0.22,7.63,623.79,63.29,2.78,0.01,0.91,1.82,5.35,0.06,1.38,0.12,0,2.91,287,2021,"PBR",40.700221,-105.544028,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,47.262,"SPRING","21 - PBR",22,"22"
"74","Poudre Above North Fork",2021-04-26,NA,NA,NA,5.58,0.33,7.48,708.45,97.46,4.25,0.01,1.01,1.92,10.55,0.1,3.01,0.48,0,5.34,292,2021,"PNF",40.702459,-105.241588,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,7.471,"SPRING","24 - PNF",25,"25"
"75","Poudre Below S. Fork",2021-04-26,NA,NA,NA,4.48,0.22,7.55,484.99,58.75,2.94,0.01,0.84,1.78,5.95,0.11,1.45,0.12,0,3.2,290,2021,"PSF",40.694953,-105.448748,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,33.951,"SPRING","23 - PSF",24,"24"
"76","Poudre South Fork",2021-04-26,NA,NA,NA,4.62,0.4,7.25,382.84,51.62,2.91,0.01,0.86,1.24,4.88,0.07,0.8,0.59,0,3.65,289,2021,"SFM",40.61825,-105.525583,"Mainstem","South Fork","CLP Mainstem-Canyon","Partially Burned",NA,NA,53.476,"SPRING","22 - SFM",23,"23"
"77","Poudre Above Joe Wright",2021-05-03,3,3,NA,6.62,0.53,7.07,269.79,56.5,1.85,0.01,0.87,1.01,4.32,0.07,1.83,0.62,0,13.13,325,2021,"PJW",40.634567,-105.807017,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,80.916,"SPRING","19 - PJW",20,"20"
"78","JWC-Joe Wright @ Aspen Glen Campground",2021-05-03,NA,NA,NA,5.85,0.8,7.28,501.23,80.42,1.49,0.02,0.94,1.42,7.23,0.07,4.73,0.16,0,14.47,324,2021,"JWC",40.62055,-105.8183,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,80.916,"SPRING","18 - JWC",19,"19"
"79","Poudre Below Rustic",2021-05-03,NA,NA,NA,6.4,0.51,7.3,475.88,73.28,2.4,0.01,0.88,1.74,6.2,0.08,2.45,0.48,0,14.19,327,2021,"PBR",40.700221,-105.544028,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,47.262,"SPRING","21 - PBR",22,"22"
"80","Poudre Above North Fork",2021-05-03,NA,NA,NA,7.51,0.48,7.41,568.64,95.41,3.22,0.01,0.95,1.93,10.29,0.17,5.02,0.58,0,12.1,332,2021,"PNF",40.702459,-105.241588,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,7.471,"SPRING","24 - PNF",25,"25"
"81","Poudre Below S. Fork",2021-05-03,NA,NA,NA,7,0.45,7.35,514.77,72.28,2.54,0.02,0.87,1.69,6.09,0.11,2.26,0.5,0,12.9,329,2021,"PSF",40.694953,-105.448748,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,33.951,"SPRING","23 - PSF",24,"24"
"82","Poudre South Fork",2021-05-03,NA,NA,NA,7.41,0.5,7.17,386.67,61.05,1.8,0.01,0.74,1.29,5.01,0.14,1.94,0.45,0,11.58,328,2021,"SFM",40.61825,-105.525583,"Mainstem","South Fork","CLP Mainstem-Canyon","Partially Burned",NA,NA,53.476,"SPRING","22 - SFM",23,"23"
"83","Poudre Above Joe Wright",2021-05-10,2.4,2,NA,5.99,0.46,7.27,259.18,53.96,1.44,0.03,0.74,1.04,4.77,0.07,1.38,0.69,0.05,11.89,349,2021,"PJW",40.634567,-105.807017,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,80.916,"SPRING","19 - PJW",20,"20"
"84","JWC-Joe Wright @ Aspen Glen Campground",2021-05-10,NA,NA,NA,5.98,0.46,7.59,520.87,90.36,1.33,0.02,1.09,1.56,9.9,0.06,4.68,0.07,0.04,13.79,348,2021,"JWC",40.62055,-105.8183,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,80.916,"SPRING","18 - JWC",19,"19"
"85","Poudre Below Rustic",2021-05-10,NA,NA,NA,5.82,0.38,7.55,480.16,74.17,2.32,0.02,0.84,1.55,6.18,0.07,3.01,0.48,0.06,13.8,352,2021,"PBR",40.700221,-105.544028,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,47.262,"SPRING","21 - PBR",22,"22"
"86","Poudre Above North Fork",2021-05-10,NA,NA,NA,6.43,0.43,7.46,639.51,87.2,1.98,0.01,0.9,1.76,7.09,0.16,4.54,0.57,0.05,12.23,356,2021,"PNF",40.702459,-105.241588,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,7.471,"SPRING","24 - PNF",25,"25"
"87","Poudre Below S. Fork",2021-05-10,NA,NA,NA,5.68,0.39,7.29,484.91,70.93,1.99,0.02,0.83,1.58,6.22,0.1,2.01,0.47,0.07,12.95,354,2021,"PSF",40.694953,-105.448748,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,33.951,"SPRING","23 - PSF",24,"24"
"88","Poudre South Fork",2021-05-10,NA,NA,NA,6.58,0.53,8.04,483.69,59.35,1.76,0.02,0.68,1.31,5.08,0.13,1.46,0.41,0.07,10.98,353,2021,"SFM",40.61825,-105.525583,"Mainstem","South Fork","CLP Mainstem-Canyon","Partially Burned",NA,NA,53.476,"SPRING","22 - SFM",23,"23"
"89","Poudre above Joe Wright",2021-05-17,2.5,8.91,NA,5.97,0.43,7.13,204.82,47.86,1.15,0.03,0.82,1.14,4.83,0.05,1.16,0.71,0.03,10.62,385,2021,"PJW",40.634567,-105.807017,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,80.916,"SPRING","19 - PJW",20,"20"
"90","JWC-Joe Wright @ Aspen Glen Campground",2021-05-17,NA,NA,NA,7.79,0.3,7.46,462.82,88.69,2.37,0.01,1.02,1.64,7.61,0.05,4.42,0.04,0.03,19.48,384,2021,"JWC",40.62055,-105.8183,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,80.916,"SPRING","18 - JWC",19,"19"
"91","Poudre Below Rustic",2021-05-17,NA,NA,NA,5.74,0.41,7.31,379.75,65.89,1.93,0.03,0.98,1.54,6.12,0.06,1.93,0.3,0.03,11.79,388,2021,"PBR",40.700221,-105.544028,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,47.262,"SPRING","21 - PBR",22,"22"
"92","Poudre Above North Fork",2021-05-17,NA,NA,NA,6.34,0.39,7.48,489.53,73.92,2.21,0.02,0.98,1.74,6.96,0.12,2.92,0.39,0,11.07,392,2021,"PNF",40.702459,-105.241588,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,7.471,"SPRING","24 - PNF",25,"25"
"93","Poudre Below S. Fork",2021-05-17,NA,NA,NA,6.21,0.37,7.36,383.2,65.93,1.85,0.02,0.97,1.59,6.18,0.08,1.98,0.28,0,11.25,390,2021,"PSF",40.694953,-105.448748,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,33.951,"SPRING","23 - PSF",24,"24"
"94","Poudre South Fork",2021-05-17,NA,NA,NA,7.17,0.44,7.21,290.74,51.9,1.7,0.02,0.82,1.32,4.99,0.11,1.12,0.36,0.03,9.33,389,2021,"SFM",40.61825,-105.525583,"Mainstem","South Fork","CLP Mainstem-Canyon","Partially Burned",NA,NA,53.476,"SPRING","22 - SFM",23,"23"
"95","Poudre Above Joe Wright",2021-05-24,1.5,4.1,NA,7.71,0.5,6.89,215.62,40.11,1.33,0.06,0.88,1.02,4.49,0.06,0.69,0.79,0,6.43,398,2021,"PJW",40.634567,-105.807017,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,80.916,"SPRING","19 - PJW",20,"20"
"96","Poudre Below Rustic",2021-05-24,NA,NA,NA,5.98,0.4,7.07,319.19,59.85,2.07,0.08,1.06,1.51,6.39,0.06,1.39,0.49,0,8.12,400,2021,"PBR",40.700221,-105.544028,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,47.262,"SPRING","21 - PBR",22,"22"
"97","Poudre Above North Fork",2021-05-24,NA,NA,NA,7.22,0.47,7.91,517.13,72.27,2.69,0.03,1.03,1.75,7.3,0.08,1.94,0.49,0,8.14,404,2021,"PNF",40.702459,-105.241588,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,7.471,"SPRING","24 - PNF",25,"25"
"98","Poudre Below S. Fork",2021-05-24,NA,NA,NA,6.45,0.42,7.09,330.56,56.35,2.22,0.06,1.02,1.56,6.49,0.06,1.1,0.47,0,8.02,402,2021,"PSF",40.694953,-105.448748,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,33.951,"SPRING","23 - PSF",24,"24"
"99","Poudre South Fork",2021-05-24,NA,NA,NA,8.34,0.42,7.02,263.62,44.81,2.05,0.04,0.85,1.23,4.89,0.09,0.74,0.43,0,6.67,401,2021,"SFM",40.61825,-105.525583,"Mainstem","South Fork","CLP Mainstem-Canyon","Partially Burned",NA,NA,53.476,"SPRING","22 - SFM",23,"23"
"100","Poudre above Joe Wright",2021-06-01,2.4,0,NA,7.99,0.47,7.05,135.12,27.16,1.19,0.02,0.66,0.78,3.58,0.05,0.53,0.51,0,4.18,429,2021,"PJW",40.634567,-105.807017,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,80.916,"SPRING","19 - PJW",20,"20"
"101","JWC-Joe Wright @ Aspen Glen Campground",2021-06-01,NA,NA,NA,5.26,0.41,7.29,474.41,62.97,1.85,0.04,1.03,1.44,7.12,0.04,1.07,0.21,0,7.23,428,2021,"JWC",40.62055,-105.8183,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,80.916,"SPRING","18 - JWC",19,"19"
"102","Poudre Below Rustic",2021-06-01,NA,NA,NA,6.4,0.41,7.11,290.44,46.04,1.76,0.03,0.81,1.18,4.96,0.05,1.38,0.23,0,5.47,431,2021,"PBR",40.700221,-105.544028,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,47.262,"SPRING","21 - PBR",22,"22"
"103","Poudre Above North Fork",2021-06-01,NA,NA,NA,6.26,0.38,7.19,435.65,57.47,2.4,0.03,0.82,1.45,6,0.08,1.54,0.24,0,5.72,436,2021,"PNF",40.702459,-105.241588,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,7.471,"SPRING","24 - PNF",25,"25"
"104","Poudre Below S. Fork",2021-06-01,NA,NA,NA,6.14,0.38,7.17,319.6,46.87,1.99,0.02,0.82,1.28,5.22,0.06,1.44,0.21,0,5.67,434,2021,"PSF",40.694953,-105.448748,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,33.951,"SPRING","23 - PSF",24,"24"
"105","Poudre South Fork",2021-06-01,NA,NA,NA,6.87,0.42,7,225.56,37.69,1.9,0.01,0.65,0.96,3.9,0.09,0.9,0.26,0,4.78,433,2021,"SFM",40.61825,-105.525583,"Mainstem","South Fork","CLP Mainstem-Canyon","Partially Burned",NA,NA,53.476,"SPRING","22 - SFM",23,"23"
"106","Poudre Above Joe Wright",2021-06-07,4.75,NA,NA,7.14,0.59,6.67,138.15,26.6,1.07,0.03,0.51,0.59,3.36,0.08,0.38,0.59,0,3,457,2021,"PJW",40.634567,-105.807017,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,80.916,"SPRING","19 - PJW",20,"20"
"107","JWC-Joe Wright @ Aspen Glen Campground",2021-06-07,NA,NA,NA,4.05,0.52,6.93,374.62,54.05,1.61,0.05,0.92,1.26,6.3,0.04,0.9,0.26,0,6.03,456,2021,"JWC",40.62055,-105.8183,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,80.916,"SPRING","18 - JWC",19,"19"
"108","Poudre Below Rustic",2021-06-07,NA,NA,NA,5.69,0.48,6.85,224.31,36.4,1.51,0.03,0.66,0.92,3.99,0.06,0.69,0.34,0,4.1,459,2021,"PBR",40.700221,-105.544028,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,47.262,"SPRING","21 - PBR",22,"22"
"109","Poudre Above North Fork",2021-06-07,NA,NA,NA,6.5,0.56,6.84,283.3,43.52,1.92,0.03,0.7,1.08,4.58,0.08,1.13,0.39,0,4.18,463,2021,"PNF",40.702459,-105.241588,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,7.471,"SPRING","24 - PNF",25,"25"
"110","Poudre Below S. Fork",2021-06-07,NA,NA,NA,6.53,0.62,6.83,239.44,39.37,1.62,0.03,0.68,0.93,4.04,0.07,0.75,0.33,0,4.05,461,2021,"PSF",40.694953,-105.448748,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,33.951,"SPRING","23 - PSF",24,"24"
"111","Poudre South Fork",2021-06-07,NA,NA,NA,7.5,0.48,6.69,156.73,25.64,1.31,0.03,0.49,0.59,2.55,0.09,0.46,0.34,0,2.8,460,2021,"SFM",40.61825,-105.525583,"Mainstem","South Fork","CLP Mainstem-Canyon","Partially Burned",NA,NA,53.476,"SPRING","22 - SFM",23,"23"
"112","Poudre Above Joe Wright",2021-06-21,2.1,2.9,NA,4.52,0.4,6.67,188,29.52,1.08,0.02,0.47,0.72,3.91,0.07,0.23,0.53,0,3.03,522,2021,"PJW",40.634567,-105.807017,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,80.916,"SUMMER","19 - PJW",20,"20"
"113","JWC-Joe Wright @ Aspen Glen Campground",2021-06-21,NA,NA,NA,3.87,0.33,6.86,318.68,45.13,1.41,0.04,0.84,1.12,5.9,0.05,0.73,0.14,0,4.57,521,2021,"JWC",40.62055,-105.8183,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,80.916,"SUMMER","18 - JWC",19,"19"
"114","Poudre Below Rustic",2021-06-21,NA,NA,NA,3.92,0.34,6.82,267.52,38.75,1.48,0.03,0.64,1.01,4.99,0.09,0.53,0.23,0,3.49,524,2021,"PBR",40.700221,-105.544028,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,47.262,"SUMMER","21 - PBR",22,"22"
"115","Poudre Above North Fork",2021-06-21,NA,NA,NA,4.13,0.36,6.86,301.74,45.19,1.88,0.05,0.64,1.13,5.33,0.14,0.92,0.2,0,3.47,528,2021,"PNF",40.702459,-105.241588,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,7.471,"SUMMER","24 - PNF",25,"25"
"116","Poudre Below S. Fork",2021-06-21,NA,NA,NA,4.44,0.56,6.77,272.07,36.56,1.5,0.04,0.58,0.95,4.56,0.1,0.53,0.19,0,3.17,526,2021,"PSF",40.694953,-105.448748,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,33.951,"SUMMER","23 - PSF",24,"24"
"117","Poudre South Fork",2021-06-21,NA,NA,NA,4.19,0.33,6.54,145.61,22.47,1.33,0.03,0.35,0.56,2.59,0.16,0.29,0.21,0,1.7,525,2021,"SFM",40.61825,-105.525583,"Mainstem","South Fork","CLP Mainstem-Canyon","Partially Burned",NA,NA,53.476,"SUMMER","22 - SFM",23,"23"
"118","Poudre Below Rustic",2021-07-01,NA,NA,NA,4.34,1.71,7.07,290.33,40.14,1.53,0.02,0.61,1.06,5.17,0.05,0.54,0.12,0,3.52,594,2021,"PBR",40.700221,-105.544028,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,47.262,"SUMMER","21 - PBR",22,"22"
"119","Poudre Below S. Fork",2021-07-01,NA,NA,NA,7.6,2.3,7.65,902.21,83.88,1.42,0.16,1.67,1.53,11.89,0.06,0.59,0.65,0.34,3.97,595,2021,"PSF",40.694953,-105.448748,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,33.951,"SUMMER","23 - PSF",24,"24"
"120","Poudre South Fork",2021-07-01,NA,NA,NA,9.63,2.49,7.11,715.76,79.71,1.54,0.08,1.92,1.59,10.26,0.08,0.57,1,0.3,3.76,590,2021,"SFM",40.61825,-105.525583,"Mainstem","South Fork","CLP Mainstem-Canyon","Partially Burned",NA,NA,53.476,"SUMMER","22 - SFM",23,"23"
"121","Poudre South Fork",2021-07-01,NA,NA,NA,8.46,1.41,6.94,671.56,71.12,1.66,0.08,1.83,1.45,10.51,0.08,0.52,0.76,0.14,3.77,596,2021,"SFM",40.61825,-105.525583,"Mainstem","South Fork","CLP Mainstem-Canyon","Partially Burned",NA,NA,53.476,"SUMMER","22 - SFM",23,"23"
"122","Poudre Below Rustic",2021-07-02,NA,NA,NA,3.5,0.94,7.14,355.45,45.65,1.59,0.04,0.65,1.1,5.6,0.06,0.56,0.13,0,3.74,605,2021,"PBR",40.700221,-105.544028,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,47.262,"SUMMER","21 - PBR",22,"22"
"123","Poudre Above North Fork",2021-07-02,NA,NA,NA,4.19,0.97,7.06,338.48,35.19,2.27,0.04,0.39,1.08,3.27,0.15,0.91,0.32,0,1.78,606,2021,"PNF",40.702459,-105.241588,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,7.471,"SUMMER","24 - PNF",25,"25"
"124","Poudre South Fork",2021-07-02,NA,NA,NA,4.74,0.99,7.16,481.75,47.16,1.7,0.06,0.59,0.81,6.28,0.07,0.33,0.34,0,2.2,601,2021,"SFM",40.61825,-105.525583,"Mainstem","South Fork","CLP Mainstem-Canyon","Partially Burned",NA,NA,53.476,"SUMMER","22 - SFM",23,"23"
"125","Poudre Below Rustic",2021-07-21,NA,NA,NA,14.77,0.92,7.21,778.07,107.89,1.87,0.12,2.24,2.34,16.25,0.1,0.92,1.22,0.41,5.18,668,2021,"PBR",40.700221,-105.544028,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,47.262,"SUMMER","21 - PBR",22,"22"
"126","Poudre Below Rustic",2021-07-21,NA,NA,NA,12.66,0.66,7.18,525.9,53.99,1.82,0.03,0.66,1.38,5.17,0.06,0.52,0.16,0,4.81,671,2021,"PBR",40.700221,-105.544028,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,47.262,"SUMMER","21 - PBR",22,"22"
