Site_Name,site_code,Lat,Long,Campaign,location,Q source,DO,DO source,watershed,status
Poudre at Archery Range,ARCH,40.5479138,-105.0011275,Mainstem,Mainstem,?,yes,ROSS,CLP  Mainstem-Fort Collins,Partially Burned
Beaver Creek,BEAV,40.579336,-105.5940998,South Fork,Stream,RMRS,no,,CLP Tributary,Partially Burned
Bennett Creek,BENN,40.65821647,-105.5409381,Tributary,Stream,RMRS,no,,CLP Tributary,Burned
Black Hollow Creek,BLAK,40.695486,-105.648333,Tributary,Stream,RMRS,no,,CLP Tributary,Burned
Barnes Meadow Outflow,BMD,40.600376,-105.836378,Chambers Complex,Outflow,Greeley/DWR,no,,Barnes Meadow Reservoir,Burned
Boxelder 1,BOX1,,,Mainstem,Stream,?,no,,CLP  Mainstem-Fort Collins,Unburned
Boxelder 2,BOX2,,,Mainstem,Stream,?,no,,CLP  Mainstem-Fort Collins,Unburned
Boxelder 3,BOX3,,,Mainstem,Stream,?,no,,CLP  Mainstem-Fort Collins,Unburned
Boxelder 4,BOX4,,,Mainstem,Stream,?,no,,CLP  Mainstem-Fort Collins,Unburned
Barnes Meadow Reservoir,BRNR,40.599908,-105.830604,Chambers Complex,Reservoir,Greeley/DWR,no,,Barnes Meadow Reservoir,Burned
Poudre above Stove Prairie,CACT,40.68267877,-105.3901979,Tributary,Stream,RMRS,no,,CLP Mainstem-Canyon,Burned
Joe Wright Outflow/Chambers Inflow,CBRI,40.57795281,-105.8572773,Chambers Complex,Inflow,USGS,yes,RMRS,Chambers Reservoir,Burned
Chambers Reservoir,CBRR,40.603457,-105.845931,Chambers Complex,Reservoir,DWR,no,,Chambers Reservoir,Burned
Chambers Outflow,CHD,40.60233229,-105.8427286,Chambers Complex,Outflow,DWR,YES,RMRS,Chambers Reservoir,Burned
Comanche Inflow,COMI,40.5858963,-105.6626,South Fork,Inflow,Greeley/DWR,no,,Comanche Reservoir,Burned
Comanche Outflow,COMO,40.5846048,-105.6440011,South Fork,Outflow,Greeley/DWR,no,,Comanche Reservoir,Burned
Comanche Reservoir,COMR,40.5853086,-105.6455009,South Fork,Reservoir,Greeley/DWR,no,,Comanche Reservoir,Burned
Deadman Creek,DEAD,40.81469082,-105.8019705,Tributary,Stream,RMRS,no,,CLP Tributary,Unburned
ELC,ELC,40.5519476,-105.0105977,Mainstem,Mainstem,USGS,yes,ROSS,CLP  Mainstem-Fort Collins,Partially Burned
Fall Creek,FALL,40.6001925,-105.8673455,Tributary,Stream,RMRS,no,,CLP Tributary,Burned
Fish Creek,FISH,40.603996,-105.546507,Tributary,Stream,RMRS,no,,CLP Tributary,Burned
Hourglass Inflow,HORI,40.5805091,-105.6409321,South Fork,Inflow,Greeley/DWR,no,,Hourglass Reservoir,Burned
Hourglass Outflow,HORO,40.5828742,-105.6309523,South Fork,Outflow,Greeley/DWR,no,,Hourglass Reservoir,Burned
Hourglass Reservoir,HORR,40.582032,-105.6314023,South Fork,Reservoir,Greeley/DWR,no,,Hourglass Reservoir,Burned
Joe Wright Inflow,JOEI,40.54013102,-105.8831698,Chambers Complex,Inflow,USGS,yes,RMRS,Joe Wright Reservoir,Unburned
Joe Wright Reservoir,JOER,40.55593744,-105.8749619,Chambers Complex,Reservoir,,no,,Joe Wright Reservoir,Partially Burned
Joe Wright Creek above the Poudre,JWC,40.61988,-105.81937,Mainstem,Mainstem,?,yes,RMRS,CLP Mainstem-Canyon,Partially Burned
Little Beaver Creek,LBEA,40.624819,-105.532595,Tributary,Stream,RMRS,no,,CLP Tributary,Burned
Poudre at Legacy Park,LEGC,40.6006194,-105.0860344,Mainstem,Mainstem,FC,yes,ROSS,CLP  Mainstem-Fort Collins,Partially Burned
Long Draw Outflow,LNGO,40.50368571,-105.7709459,Longdraw,Outflow,DNR,no,,Long Draw Reservoir,Unburned
Long Draw Reservoir,LNGR,40.50087627,-105.7725307,Longdraw,Reservoir,?,no,,Long Draw Reservoir,Unburned
Laramie River Tunnel,LRT,40.66791689,-105.8075443,Mainstem,Mainstem,DNR,no,,CLP Mainstem-Canyon,Partially Burned
North Joe Wright Creek,NJOE,40.57291676,-105.863055,Tributary,Stream,RMRS,no,,CLP Tributary,Burned
Poudre below Bellvue Diversion,PBD,40.663976,-105.215337,Mainstem,Mainstem,DNR,yes,RMRS,CLP Mainstem-Canyon,Partially Burned
Poudre at Rustic,PBR,40.700221,-105.544028,Mainstem,Mainstem,FC,yes,FC,CLP Mainstem-Canyon,Partially Burned
Pennock Creek,PENN,40.57855879,-105.5441506,Tributary,Stream,RMRS,no,,CLP Tributary,Partially Burned
Poudre above Joe Wright Creek,PJW,40.634114,-105.807264,Mainstem,Mainstem,?,yes,RMRS,CLP Mainstem-Canyon,Partially Burned
Poudre above the North Fork,PNF,40.702459,-105.241588,Mainstem,Mainstem,FC?,yes,RMRS,CLP Mainstem-Canyon,Partially Burned
North Fork of the Poudre,PONO,40.81355942,-105.710882,Tributary,Stream,RMRS,no,,CLP Tributary,Unburned
Poudre below the South Fork,PSF,40.694953,-105.448748,Mainstem,Mainstem,?,yes,RMRS,CLP Mainstem-Canyon,Partially Burned
Peterson Outflow,PTRO,40.56063874,-105.7929021,Longdraw,Outflow,Greeley/DNR,no,,Peterson Reservoir,Burned
Peterson Reservoir,PTRR,40.55936515,-105.7940034,Longdraw,Reservoir,Greeley/DNR,no,,Peterson Reservoir,Burned
Roaring Creek,ROAR,40.71825826,-105.7392645,Tributary,Stream,RMRS,no,,CLP Tributary,Burned
Sawmill Creek,SAWM,40.581377,-105.856229,Tributary,Stream,RMRS,no,,CLP Tributary,Partially Burned
Sevenmile Creek,SEVN,40.70582545,-105.5877759,Tributary,Stream,RMRS,no,,CLP Tributary,Burned
South Fork of the Poudre,SFM,40.61825,-105.525583,South Fork,Mainstem,FC,yes,RMRS,CLP Mainstem-Canyon,Partially Burned
Sheep Creek,SHEP,40.69487299,-105.6256411,Tributary,Stream,RMRS,no,,CLP Tributary,Burned
Sleeping Elephant,SLEP,40.682439,-105.771986,Mainstem,Mainstem,RMRS,no,,CLP Mainstem-Canyon,Partially Burned
South Lone Pine Creek,SOLP,40.78860289,-105.6011062,Tributary,Stream,RMRS,no,,CLP Tributary,Unburned
Timberline,TIMB,40.5754289,-105.0333903,Mainstem,Mainstem,?,yes,ROSS,CLP  Mainstem-Fort Collins,Partially Burned
Long Draw Road Tributary 1,LDRT1,40.530046,-105.794982,Tributary,Stream,,no,,CLP Tributary,Burned
,,,,,,,,,,
,,,,,,,,,,
,", ",,,,,,,,,